name_en,category,states_name_en,region_en
Thracian Tomb of Sveshtari,Cultural,Bulgaria,Europe and North America
Old City of Dubrovnik,Cultural,Croatia,Europe and North America
Historical Complex of Split with the Palace of Diocletian,Cultural,Croatia,Europe and North America
Plitvice Lakes National Park,Natural,Croatia,Europe and North America
Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Poreč,Cultural,Croatia,Europe and North America
Historic City of Trogir,Cultural,Croatia,Europe and North America
The Cathedral of St James in Šibenik,Cultural,Croatia,Europe and North America
Stari Grad Plain,Cultural,Croatia,Europe and North America
Paphos,Cultural,Cyprus,Europe and North America
Painted Churches in the Troodos Region,Cultural,Cyprus,Europe and North America
Choirokoitia,Cultural,Cyprus,Europe and North America
Historic Centre of Prague,Cultural,Czechia,Europe and North America
Historic Centre of Český Krumlov,Cultural,Czechia,Europe and North America
Historic Centre of Telč,Cultural,Czechia,Europe and North America
Pilgrimage Church of St John of Nepomuk at Zelená Hora,Cultural,Czechia,Europe and North America
Kutná Hora: Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,Cultural,Czechia,Europe and North America
Lednice-Valtice Cultural Landscape,Cultural,Czechia,Europe and North America
Holy Trinity Column in Olomouc,Cultural,Czechia,Europe and North America
Gardens and Castle at Kroměříž,Cultural,Czechia,Europe and North America
Holašovice Historic Village,Cultural,Czechia,Europe and North America
Litomyšl Castle,Cultural,Czechia,Europe and North America
Tugendhat Villa in Brno,Cultural,Czechia,Europe and North America
Jewish Quarter and St Procopius' Basilica in Třebíč,Cultural,Czechia,Europe and North America
Landscape for Breeding and Training of Ceremonial Carriage Horses at Kladruby nad Labem,Cultural,Czechia,Europe and North America
Roskilde Cathedral,Cultural,Denmark,Europe and North America
Kronborg Castle,Cultural,Denmark,Europe and North America
Jelling Mounds++ Runic Stones and Church,Cultural,Denmark,Europe and North America
Ilulissat Icefjord,Natural,Denmark,Europe and North America
Stevns Klint,Natural,Denmark,Europe and North America
Christiansfeld++ a Moravian Church Settlement,Cultural,Denmark,Europe and North America
The par force hunting landscape in North Zealand,Cultural,Denmark,Europe and North America
Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap,Cultural,Denmark,Europe and North America
Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea,Cultural,Denmark,Europe and North America
Historic Centre (Old Town) of Tallinn,Cultural,Estonia,Europe and North America
Bronze Age Burial Site of Sammallahdenmäki,Cultural,Finland,Europe and North America
Old Rauma,Cultural,Finland,Europe and North America
Fortress of Suomenlinna,Cultural,Finland,Europe and North America
Petäjävesi Old Church,Cultural,Finland,Europe and North America
Verla Groundwood and Board Mill,Cultural,Finland,Europe and North America
Mont-Saint-Michel and its Bay,Cultural,France,Europe and North America
Chartres Cathedral,Cultural,France,Europe and North America
Palace and Park of Versailles,Cultural,France,Europe and North America
Vézelay++ Church and Hill,Cultural,France,Europe and North America
Prehistoric Sites and Decorated Caves of the Vézère Valley,Cultural,France,Europe and North America
Palace and Park of Fontainebleau,Cultural,France,Europe and North America
Amiens Cathedral,Cultural,France,Europe and North America
"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange",Cultural,France,Europe and North America
Arles++ Roman and Romanesque Monuments,Cultural,France,Europe and North America
Cistercian Abbey of Fontenay,Cultural,France,Europe and North America
From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans++ the Production of Open-pan Salt ,Cultural,France,Europe and North America
Historic Centre of Avignon: Papal Palace++ Episcopal Ensemble and Avignon Bridge,Cultural,France,Europe and North America
Place Stanislas++ Place de la Carrière and Place d'Alliance in Nancy,Cultural,France,Europe and North America
Abbey Church of Saint-Savin sur Gartempe,Cultural,France,Europe and North America
Gulf of Porto: Calanche of Piana++ Gulf of Girolata++ Scandola Reserve,Natural,France,Europe and North America
Pont du Gard (Roman Aqueduct),Cultural,France,Europe and North America
Historic Fortified City of Carcassonne,Cultural,France,Europe and North America
Strasbourg++ Grande-Île and <em>Neustadt</em>,Cultural,France,Europe and North America
Paris++ Banks of the Seine,Cultural,France,Europe and North America
Cathedral of Notre-Dame++ Former Abbey of Saint-Rémi and Palace of Tau++ Reims,Cultural,France,Europe and North America
Bourges Cathedral,Cultural,France,Europe and North America
Canal du Midi,Cultural,France,Europe and North America
Routes of Santiago de Compostela in France,Cultural,France,Europe and North America
Historic Site of Lyon,Cultural,France,Europe and North America
Provins++ Town of Medieval Fairs,Cultural,France,Europe and North America
Jurisdiction of Saint-Emilion,Cultural,France,Europe and North America
The Loire Valley between Sully-sur-Loire and Chalonnes,Cultural,France,Europe and North America
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,Natural,France,Europe and North America
The Causses and the Cévennes++ Mediterranean agro-pastoral Cultural Landscape,Cultural,France,Europe and North America
Le Havre++ the City Rebuilt by Auguste Perret,Cultural,France,Europe and North America
Bordeaux++ Port of the Moon,Cultural,France,Europe and North America
Fortifications of Vauban,Cultural,France,Europe and North America
Pitons++ cirques and remparts of Reunion Island,Natural,France,Europe and North America
Episcopal City of Albi,Cultural,France,Europe and North America
Nord-Pas de Calais Mining Basin,Cultural,France,Europe and North America
The Climats++ terroirs of Burgundy,Cultural,France,Europe and North America
Decorated Cave of Pont d’Arc++ known as Grotte Chauvet-Pont d’Arc++ Ardèche,Cultural,France,Europe and North America
Chaîne des Puys - Limagne fault tectonic arena,Natural,France,Europe and North America
Champagne Hillsides++ Houses and Cellars,Cultural,France,Europe and North America
Taputapuātea,Cultural,France,Europe and North America
French Austral Lands and Seas,Natural,France,Europe and North America
Historical Monuments of Mtskheta,Cultural,Georgia,Europe and North America
Upper Svaneti,Cultural,Georgia,Europe and North America
Gelati Monastery,Cultural,Georgia,Europe and North America
Aachen Cathedral ,Cultural,Germany,Europe and North America
Speyer Cathedral,Cultural,Germany,Europe and North America
Würzburg Residence with the Court Gardens and Residence Square,Cultural,Germany,Europe and North America
St Mary's Cathedral and St Michael's Church at Hildesheim,Cultural,Germany,Europe and North America
Pilgrimage Church of Wies,Cultural,Germany,Europe and North America
Hanseatic City of Lübeck,Cultural,Germany,Europe and North America
Castles of Augustusburg and Falkenlust at Brühl,Cultural,Germany,Europe and North America
Cologne Cathedral,Cultural,Germany,Europe and North America
Roman Monuments++ Cathedral of St Peter and Church of Our Lady in Trier,Cultural,Germany,Europe and North America
Abbey and Altenmünster of Lorsch,Cultural,Germany,Europe and North America
Palaces and Parks of Potsdam and Berlin,Cultural,Germany,Europe and North America
Garden Kingdom of Dessau-Wörlitz,Cultural,Germany,Europe and North America
Collegiate Church++ Castle and Old Town of Quedlinburg,Cultural,Germany,Europe and North America
Maulbronn Monastery Complex,Cultural,Germany,Europe and North America
Mines of Rammelsberg++ Historic Town of Goslar and Upper Harz Water Management  System,Cultural,Germany,Europe and North America
Town of Bamberg,Cultural,Germany,Europe and North America
Völklingen Ironworks,Cultural,Germany,Europe and North America
Messel Pit Fossil Site,Natural,Germany,Europe and North America
Bauhaus and its Sites in Weimar++ Dessau and Bernau,Cultural,Germany,Europe and North America
Luther Memorials in Eisleben and Wittenberg,Cultural,Germany,Europe and North America
Classical Weimar,Cultural,Germany,Europe and North America
Museumsinsel (Museum Island)++ Berlin,Cultural,Germany,Europe and North America
Wartburg Castle,Cultural,Germany,Europe and North America
Monastic Island of Reichenau,Cultural,Germany,Europe and North America
Zollverein Coal Mine Industrial Complex in Essen,Cultural,Germany,Europe and North America
Upper Middle Rhine Valley,Cultural,Germany,Europe and North America
Historic Centres of Stralsund and Wismar,Cultural,Germany,Europe and North America
Town Hall and Roland on the Marketplace of Bremen,Cultural,Germany,Europe and North America
Old town of Regensburg with Stadtamhof,Cultural,Germany,Europe and North America
Berlin Modernism Housing Estates,Cultural,Germany,Europe and North America
Fagus Factory in Alfeld,Cultural,Germany,Europe and North America
Margravial Opera House Bayreuth,Cultural,Germany,Europe and North America
Bergpark Wilhelmshöhe,Cultural,Germany,Europe and North America
Carolingian Westwork and Civitas Corvey,Cultural,Germany,Europe and North America
Speicherstadt and Kontorhaus District with Chilehaus,Cultural,Germany,Europe and North America
Naumburg Cathedral,Cultural,Germany,Europe and North America
Caves and Ice Age Art in the Swabian Jura,Cultural,Germany,Europe and North America
Archaeological Border complex of Hedeby and the Danevirke,Cultural,Germany,Europe and North America
Water Management System of Augsburg,Cultural,Germany,Europe and North America
Temple of Apollo Epicurius at Bassae,Cultural,Greece,Europe and North America
Archaeological Site of Delphi,Cultural,Greece,Europe and North America
Acropolis++ Athens,Cultural,Greece,Europe and North America
Mount Athos,Mixed,Greece,Europe and North America
Meteora,Mixed,Greece,Europe and North America
Paleochristian and Byzantine Monuments of Thessalonika,Cultural,Greece,Europe and North America
Sanctuary of Asklepios at Epidaurus,Cultural,Greece,Europe and North America
Medieval City of Rhodes,Cultural,Greece,Europe and North America
Archaeological Site of Mystras,Cultural,Greece,Europe and North America
Archaeological Site of Olympia,Cultural,Greece,Europe and North America
Delos,Cultural,Greece,Europe and North America
Monasteries of Daphni++ Hosios Loukas and Nea Moni of Chios,Cultural,Greece,Europe and North America
Pythagoreion and Heraion of Samos,Cultural,Greece,Europe and North America
Archaeological Site of Aigai (modern name Vergina),Cultural,Greece,Europe and North America
Archaeological Sites of Mycenae and Tiryns,Cultural,Greece,Europe and North America
The Historic Centre (Chorá) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Pátmos,Cultural,Greece,Europe and North America
Old Town of Corfu,Cultural,Greece,Europe and North America
Archaeological Site of Philippi,Cultural,Greece,Europe and North America
Vatican City,Cultural,Holy See,Europe and North America
Budapest++ including the Banks of the Danube++ the Buda Castle Quarter and Andrássy Avenue,Cultural,Hungary,Europe and North America
Old Village of Hollókő and its Surroundings,Cultural,Hungary,Europe and North America
Hortobágy National Park - the <i>Puszta</i>,Cultural,Hungary,Europe and North America
Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,Cultural,Hungary,Europe and North America
Early Christian Necropolis of Pécs (Sopianae),Cultural,Hungary,Europe and North America
Tokaj Wine Region Historic Cultural Landscape,Cultural,Hungary,Europe and North America
Þingvellir National Park,Cultural,Iceland,Europe and North America
Surtsey,Natural,Iceland,Europe and North America
Vatnajökull National Park - dynamic nature of fire and ice,Natural,Iceland,Europe and North America
Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne,Cultural,Ireland,Europe and North America
Sceilg Mhichíl,Cultural,Ireland,Europe and North America
Masada,Cultural,Israel,Europe and North America
Old City of Acre,Cultural,Israel,Europe and North America
White City of Tel-Aviv – the Modern Movement,Cultural,Israel,Europe and North America
Incense Route - Desert Cities in the Negev,Cultural,Israel,Europe and North America
Biblical Tels - Megiddo++ Hazor++ Beer Sheba,Cultural,Israel,Europe and North America
Bahá’i Holy Places in Haifa and the Western Galilee,Cultural,Israel,Europe and North America
Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,Cultural,Israel,Europe and North America
Sites of Human Evolution at Mount Carmel: The Nahal Me’arot / Wadi el-Mughara Caves,Cultural,Israel,Europe and North America
Necropolis of Bet She’arim: A Landmark of Jewish Renewal,Cultural,Israel,Europe and North America
Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,Cultural,Italy,Europe and North America
Rock Drawings in Valcamonica,Cultural,Italy,Europe and North America
Historic Centre of Florence,Cultural,Italy,Europe and North America
Medici Villas and Gardens in Tuscany,Cultural,Italy,Europe and North America
Venice and its Lagoon,Cultural,Italy,Europe and North America
Piazza del Duomo++ Pisa,Cultural,Italy,Europe and North America
Castel del Monte,Cultural,Italy,Europe and North America
18th-Century Royal Palace at Caserta with the Park++ the Aqueduct of Vanvitelli++ and the San Leucio Complex,Cultural,Italy,Europe and North America
Historic Centre of San Gimignano,Cultural,Italy,Europe and North America
The Sassi and the Park of the Rupestrian Churches of Matera,Cultural,Italy,Europe and North America
City of Vicenza and the Palladian Villas of the Veneto,Cultural,Italy,Europe and North America
Historic Centre of Siena,Cultural,Italy,Europe and North America
Historic Centre of Naples,Cultural,Italy,Europe and North America
Crespi d'Adda,Cultural,Italy,Europe and North America
Ferrara++ City of the Renaissance++ and its Po Delta,Cultural,Italy,Europe and North America
The <I>Trulli</I> of Alberobello,Cultural,Italy,Europe and North America
Early Christian Monuments of Ravenna,Cultural,Italy,Europe and North America
Historic Centre of the City of Pienza,Cultural,Italy,Europe and North America
City of Verona,Cultural,Italy,Europe and North America
Residences of the Royal House of Savoy,Cultural,Italy,Europe and North America
Botanical Garden (Orto Botanico)++ Padua,Cultural,Italy,Europe and North America
Archaeological Area and the Patriarchal Basilica of Aquileia,Cultural,Italy,Europe and North America
Portovenere++ Cinque Terre++ and the Islands (Palmaria++ Tino and Tinetto),Cultural,Italy,Europe and North America
Cathedral++ Torre Civica and Piazza Grande++ Modena,Cultural,Italy,Europe and North America
Historic Centre of Urbino,Cultural,Italy,Europe and North America
Archaeological Areas of Pompei++ Herculaneum and Torre Annunziata,Cultural,Italy,Europe and North America
Costiera Amalfitana,Cultural,Italy,Europe and North America
Archaeological Area of Agrigento,Cultural,Italy,Europe and North America
Villa Romana del Casale,Cultural,Italy,Europe and North America
Su Nuraxi di Barumini,Cultural,Italy,Europe and North America
Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia++ and the Certosa di Padula,Cultural,Italy,Europe and North America
Villa Adriana (Tivoli),Cultural,Italy,Europe and North America
Isole Eolie (Aeolian Islands),Natural,Italy,Europe and North America
Assisi++ the Basilica of San Francesco and Other Franciscan Sites,Cultural,Italy,Europe and North America
Late Baroque Towns of the Val di Noto (South-Eastern Sicily),Cultural,Italy,Europe and North America
Villa d'Este++ Tivoli,Cultural,Italy,Europe and North America
Val d'Orcia,Cultural,Italy,Europe and North America
<I>Sacri Monti</I> of Piedmont and Lombardy,Cultural,Italy,Europe and North America
Etruscan Necropolises of Cerveteri and Tarquinia,Cultural,Italy,Europe and North America
Syracuse and the Rocky Necropolis of Pantalica,Cultural,Italy,Europe and North America
Genoa: <i>Le Strade Nuove</i> and the system of the<i> Palazzi dei Rolli</i>,Cultural,Italy,Europe and North America
The Dolomites,Natural,Italy,Europe and North America
Mantua and Sabbioneta,Cultural,Italy,Europe and North America
Longobards in Italy. Places of the Power (568-774 A.D.),Cultural,Italy,Europe and North America
Vineyard Landscape of Piedmont: Langhe-Roero and Monferrato,Cultural,Italy,Europe and North America
Mount Etna,Natural,Italy,Europe and North America
Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,Cultural,Italy,Europe and North America
Ivrea++ industrial city of the 20th century,Cultural,Italy,Europe and North America
Le Colline del Prosecco di Conegliano e Valdobbiadene,Cultural,Italy,Europe and North America
Historic Centre of Riga,Cultural,Latvia,Europe and North America
Vilnius Historic Centre,Cultural,Lithuania,Europe and North America
Kernavė  Archaeological Site (Cultural Reserve of Kernavė),Cultural,Lithuania,Europe and North America
City of Luxembourg: its Old Quarters and Fortifications,Cultural,Luxembourg,Europe and North America
Ħal Saflieni Hypogeum,Cultural,Malta,Europe and North America
City of Valletta,Cultural,Malta,Europe and North America
Megalithic Temples of Malta,Cultural,Malta,Europe and North America
Durmitor National Park,Natural,Montenegro,Europe and North America
Natural and Culturo-Historical Region of Kotor,Cultural,Montenegro,Europe and North America
Schokland and Surroundings,Cultural,Netherlands,Europe and North America
Defence Line of Amsterdam,Cultural,Netherlands,Europe and North America
Mill Network at Kinderdijk-Elshout,Cultural,Netherlands,Europe and North America
Historic Area of Willemstad++ Inner City and Harbour++ Curaçao,Cultural,Netherlands,Europe and North America
Ir.D.F. Woudagemaal (D.F. Wouda Steam Pumping Station),Cultural,Netherlands,Europe and North America
Droogmakerij de Beemster (Beemster Polder),Cultural,Netherlands,Europe and North America
Rietveld Schröderhuis (Rietveld Schröder House),Cultural,Netherlands,Europe and North America
Seventeenth-Century Canal Ring Area of Amsterdam inside the Singelgracht,Cultural,Netherlands,Europe and North America
Van Nellefabriek,Cultural,Netherlands,Europe and North America
Røros Mining Town and the Circumference,Cultural,Norway,Europe and North America
Urnes Stave Church,Cultural,Norway,Europe and North America
Bryggen,Cultural,Norway,Europe and North America
Rock Art of Alta,Cultural,Norway,Europe and North America
Vegaøyan – The Vega Archipelago,Cultural,Norway,Europe and North America
West Norwegian Fjords – Geirangerfjord and Nærøyfjord,Natural,Norway,Europe and North America
Rjukan-Notodden Industrial Heritage Site,Cultural,Norway,Europe and North America
Historic Centre of Kraków,Cultural,Poland,Europe and North America
Historic Centre of Warsaw,Cultural,Poland,Europe and North America
Auschwitz Birkenau <br /><small>German Nazi Concentration and Extermination Camp (1940-1945)</small>,Cultural,Poland,Europe and North America
Wieliczka and Bochnia Royal Salt Mines,Cultural,Poland,Europe and North America
Old City of Zamość,Cultural,Poland,Europe and North America
Medieval Town of Toruń,Cultural,Poland,Europe and North America
Castle of the Teutonic Order in Malbork,Cultural,Poland,Europe and North America
Kalwaria Zebrzydowska: the Mannerist Architectural and Park Landscape Complex and Pilgrimage Park,Cultural,Poland,Europe and North America
Wooden Churches of Southern Małopolska,Cultural,Poland,Europe and North America
Churches of Peace in Jawor and Świdnica,Cultural,Poland,Europe and North America
Centennial Hall in Wrocław,Cultural,Poland,Europe and North America
Tarnowskie Góry Lead-Silver-Zinc Mine and its Underground Water Management System,Cultural,Poland,Europe and North America
Krzemionki Prehistoric Striped Flint Mining Region,Cultural,Poland,Europe and North America
Central Zone of the Town of Angra do Heroismo in the Azores,Cultural,Portugal,Europe and North America
Monastery of the Hieronymites and Tower of Belém in Lisbon,Cultural,Portugal,Europe and North America
Monastery of Batalha,Cultural,Portugal,Europe and North America
Convent of Christ in Tomar,Cultural,Portugal,Europe and North America
Historic Centre of Évora,Cultural,Portugal,Europe and North America
Monastery of Alcobaça,Cultural,Portugal,Europe and North America
Cultural Landscape of Sintra,Cultural,Portugal,Europe and North America
Historic Centre of Oporto++ Luiz I Bridge and Monastery of Serra do Pilar ,Cultural,Portugal,Europe and North America
Laurisilva of Madeira,Natural,Portugal,Europe and North America
Historic Centre of Guimarães,Cultural,Portugal,Europe and North America
Alto Douro Wine Region,Cultural,Portugal,Europe and North America
Landscape of the Pico Island Vineyard Culture,Cultural,Portugal,Europe and North America
Garrison Border Town of Elvas and its Fortifications,Cultural,Portugal,Europe and North America
University of Coimbra – Alta and Sofia,Cultural,Portugal,Europe and North America
Royal Building of <i>Mafra</i> – Palace++ Basilica++ Convent++ <i>Cerco</i> Garden and Hunting Park (<i>Tapada</i>),Cultural,Portugal,Europe and North America
Sanctuary of Bom Jesus do Monte in Braga,Cultural,Portugal,Europe and North America
Danube Delta,Natural,Romania,Europe and North America
Villages with Fortified Churches in Transylvania,Cultural,Romania,Europe and North America
Monastery of Horezu,Cultural,Romania,Europe and North America
Churches of Moldavia,Cultural,Romania,Europe and North America
Historic Centre of Sighişoara,Cultural,Romania,Europe and North America
Wooden Churches of Maramureş,Cultural,Romania,Europe and North America
Dacian Fortresses of the Orastie Mountains,Cultural,Romania,Europe and North America
Historic Centre of Saint Petersburg and Related Groups of Monuments,Cultural,Russian Federation,Europe and North America
Kizhi Pogost,Cultural,Russian Federation,Europe and North America
Kremlin and Red Square++ Moscow,Cultural,Russian Federation,Europe and North America
Historic Monuments of Novgorod and Surroundings,Cultural,Russian Federation,Europe and North America
Cultural and Historic Ensemble of the Solovetsky Islands,Cultural,Russian Federation,Europe and North America
White Monuments of Vladimir and Suzdal,Cultural,Russian Federation,Europe and North America
Church of the Ascension++ Kolomenskoye,Cultural,Russian Federation,Europe and North America
Architectural Ensemble of the Trinity Sergius Lavra in Sergiev Posad,Cultural,Russian Federation,Europe and North America
Virgin Komi Forests,Natural,Russian Federation,Europe and North America
Lake Baikal,Natural,Russian Federation,Europe and North America
Volcanoes of Kamchatka,Natural,Russian Federation,Europe and North America
Central Sikhote-Alin,Natural,Russian Federation,Europe and North America
Golden Mountains of Altai,Natural,Russian Federation,Europe and North America
Western Caucasus,Natural,Russian Federation,Europe and North America
Historic and Architectural Complex of the Kazan Kremlin,Cultural,Russian Federation,Europe and North America
Bolgar Historical and Archaeological Complex,Cultural,Russian Federation,Europe and North America
Ensemble of the Ferapontov Monastery,Cultural,Russian Federation,Europe and North America
Natural System of Wrangel Island Reserve,Natural,Russian Federation,Europe and North America
Citadel++ Ancient City and Fortress Buildings of Derbent,Cultural,Russian Federation,Europe and North America
Ensemble of the Novodevichy Convent,Cultural,Russian Federation,Europe and North America
Historical Centre of the City of Yaroslavl,Cultural,Russian Federation,Europe and North America
Putorana Plateau,Natural,Russian Federation,Europe and North America
Lena Pillars Nature Park,Natural,Russian Federation,Europe and North America
Churches of the Pskov School of Architecture,Cultural,Russian Federation,Europe and North America
Assumption Cathedral and Monastery of the town-island of Sviyazhsk,Cultural,Russian Federation,Europe and North America
San Marino Historic Centre and Mount Titano,Cultural,San Marino,Europe and North America
Stari Ras and Sopoćani,Cultural,Serbia,Europe and North America
Studenica Monastery,Cultural,Serbia,Europe and North America
Medieval Monuments in Kosovo,Cultural,Serbia,Europe and North America
Gamzigrad-Romuliana++ Palace of Galerius,Cultural,Serbia,Europe and North America
Historic Town of Banská Štiavnica and the Technical Monuments in its Vicinity,Cultural,Slovakia,Europe and North America
Levoča++ Spišský Hrad and the Associated Cultural Monuments,Cultural,Slovakia,Europe and North America
Vlkolínec,Cultural,Slovakia,Europe and North America
Bardejov Town Conservation Reserve,Cultural,Slovakia,Europe and North America
Wooden Churches of the Slovak part of the Carpathian Mountain Area,Cultural,Slovakia,Europe and North America
Škocjan Caves,Natural,Slovenia,Europe and North America
Cave of Altamira and Paleolithic Cave Art of Northern Spain,Cultural,Spain,Europe and North America
Old Town of Segovia and its Aqueduct,Cultural,Spain,Europe and North America
Monuments of Oviedo and the Kingdom of the Asturias,Cultural,Spain,Europe and North America
Historic Centre of Cordoba,Cultural,Spain,Europe and North America
Alhambra++ Generalife and Albayzín++ Granada,Cultural,Spain,Europe and North America
Burgos Cathedral,Cultural,Spain,Europe and North America
Monastery and Site of the Escurial++ Madrid,Cultural,Spain,Europe and North America
Works of Antoni Gaudí ,Cultural,Spain,Europe and North America
Santiago de Compostela (Old Town),Cultural,Spain,Europe and North America
Old Town of Ávila with its Extra-Muros Churches,Cultural,Spain,Europe and North America
Mudejar Architecture of Aragon,Cultural,Spain,Europe and North America
Historic City of Toledo,Cultural,Spain,Europe and North America
Garajonay National Park,Natural,Spain,Europe and North America
Old City of Salamanca,Cultural,Spain,Europe and North America
Cathedral++ Alcázar and Archivo de Indias in Seville,Cultural,Spain,Europe and North America
Old Town of Cáceres,Cultural,Spain,Europe and North America
Ibiza++ Biodiversity and Culture,Mixed,Spain,Europe and North America
Poblet Monastery,Cultural,Spain,Europe and North America
Renaissance Monumental Ensembles of Úbeda and Baeza,Cultural,Spain,Europe and North America
Archaeological Ensemble of Mérida,Cultural,Spain,Europe and North America
Royal Monastery of Santa María de Guadalupe,Cultural,Spain,Europe and North America
Routes of Santiago de Compostela: <i>Camino Francés</i> and Routes of Northern Spain ,Cultural,Spain,Europe and North America
Doñana National Park,Natural,Spain,Europe and North America
Historic Walled Town of Cuenca,Cultural,Spain,Europe and North America
La Lonja de la Seda de Valencia,Cultural,Spain,Europe and North America
Las Médulas,Cultural,Spain,Europe and North America
Palau de la Música Catalana and Hospital de Sant Pau++ Barcelona,Cultural,Spain,Europe and North America
San Millán Yuso and Suso Monasteries,Cultural,Spain,Europe and North America
Rock Art of the Mediterranean Basin on the Iberian Peninsula,Cultural,Spain,Europe and North America
Archaeological Ensemble of Tárraco,Cultural,Spain,Europe and North America
University and Historic Precinct of Alcalá de Henares,Cultural,Spain,Europe and North America
San Cristóbal de La Laguna,Cultural,Spain,Europe and North America
Palmeral of Elche,Cultural,Spain,Europe and North America
Roman Walls of Lugo,Cultural,Spain,Europe and North America
Catalan Romanesque Churches of the Vall de Boí,Cultural,Spain,Europe and North America
Archaeological Site of Atapuerca,Cultural,Spain,Europe and North America
Aranjuez Cultural Landscape,Cultural,Spain,Europe and North America
Vizcaya Bridge,Cultural,Spain,Europe and North America
Teide National Park,Natural,Spain,Europe and North America
Tower of Hercules,Cultural,Spain,Europe and North America
Cultural Landscape of the Serra de Tramuntana,Cultural,Spain,Europe and North America
Antequera Dolmens Site,Cultural,Spain,Europe and North America
Caliphate City of Medina Azahara,Cultural,Spain,Europe and North America
Risco Caido and the Sacred Mountains of Gran Canaria Cultural Landscape,Cultural,Spain,Europe and North America
Birka and Hovgården,Cultural,Sweden,Europe and North America
Engelsberg Ironworks,Cultural,Sweden,Europe and North America
Rock Carvings in Tanum,Cultural,Sweden,Europe and North America
Skogskyrkogården,Cultural,Sweden,Europe and North America
Royal Domain of Drottningholm,Cultural,Sweden,Europe and North America
Hanseatic Town of Visby,Cultural,Sweden,Europe and North America
Church Town of Gammelstad++ Luleå ,Cultural,Sweden,Europe and North America
Laponian Area,Mixed,Sweden,Europe and North America
Naval Port of Karlskrona,Cultural,Sweden,Europe and North America
Agricultural Landscape of Southern Öland,Cultural,Sweden,Europe and North America
